campus,site_id,tipo,raio_km,resolucao_m,classificador,ano_inicio,ano_fim,pixels_validos_mascara,virou_construida,virou_construida_via_solo,vegetacao_para_construida,pct_virou_construida,pct_virou_construida_via_solo,pct_vegetacao_para_construida
ascenty-jundiai,ascenty-jundiai,tratamento,0.5,10,dynamic_world,2016,2022,7855,287,0,285,3.653723742838956,0.0,3.6282622533418203
ascenty-jundiai,ascenty-jundiai,tratamento,1.0,10,dynamic_world,2016,2022,31429,2581,261,2523,8.212160743262592,0.8304432212288014,8.027617805211747
ascenty-jundiai,ascenty-jundiai,tratamento,2.0,10,dynamic_world,2016,2022,125694,3989,334,3813,3.1735802822728214,0.26572469648511465,3.0335576877177908
ascenty-jundiai,ascenty-jundiai,tratamento,0.5-1km,10,dynamic_world,2016,2022,23574,2294,261,2238,9.731059641978451,1.1071519470603206,9.493509798931026
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5,10,dynamic_world,2016,2022,7842,660,0,660,8.416220351951033,0.0,8.416220351951033
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,1.0,10,dynamic_world,2016,2022,31410,1118,0,1118,3.559375994906081,0.0,3.559375994906081
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,2.0,10,dynamic_world,2016,2022,125644,3156,0,3156,2.5118589029320937,0.0,2.5118589029320937
ascenty-jundiai,ctrl-ascenty-jundiai-p01,controle,0.5-1km,10,dynamic_world,2016,2022,23568,458,0,458,1.9433129667345552,0.0,1.9433129667345552
ascenty-osasco,ascenty-osasco,tratamento,0.5,10,dynamic_world,2017,2023,7850,112,0,112,1.4267515923566878,0.0,1.4267515923566878
ascenty-osasco,ascenty-osasco,tratamento,1.0,10,dynamic_world,2017,2023,31414,480,5,478,1.5279811548990896,0.015916470363532182,1.5216145667536767
ascenty-osasco,ascenty-osasco,tratamento,2.0,10,dynamic_world,2017,2023,125653,1990,78,1864,1.5837266121779823,0.062075716457227446,1.4834504548239995
ascenty-osasco,ascenty-osasco,tratamento,0.5-1km,10,dynamic_world,2017,2023,23564,368,5,366,1.5617042946868105,0.02121880835172297,1.5532167713461211
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5,10,dynamic_world,2017,2023,7861,0,0,0,0.0,0.0,0.0
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,1.0,10,dynamic_world,2017,2023,31435,543,129,369,1.7273739462382693,0.41037060601240655,1.1738508032447907
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,2.0,10,dynamic_world,2017,2023,125681,1275,316,965,1.0144731502772892,0.251430208225587,0.7678169333471249
ascenty-osasco,ctrl-ascenty-osasco-p01,controle,0.5-1km,10,dynamic_world,2017,2023,23574,543,129,369,2.3033850852634257,0.5472130313056758,1.565283787223212
ascenty-paulinia,ascenty-paulinia,tratamento,0.5,10,dynamic_world,2016,2022,7853,651,199,651,8.289825544377944,2.5340634152553165,8.289825544377944
ascenty-paulinia,ascenty-paulinia,tratamento,1.0,10,dynamic_world,2016,2022,31427,1932,457,1882,6.147580106278041,1.4541636172717727,5.98848124224393
ascenty-paulinia,ascenty-paulinia,tratamento,2.0,10,dynamic_world,2016,2022,125701,5045,470,4760,4.0134923349854015,0.37390315112847156,3.786763828450052
ascenty-paulinia,ascenty-paulinia,tratamento,0.5-1km,10,dynamic_world,2016,2022,23574,1281,258,1231,5.43395265970985,1.0944260626113516,5.221854585560363
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5,10,dynamic_world,2016,2022,7861,414,0,395,5.266505533647119,0.0,5.02480600432515
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,1.0,10,dynamic_world,2016,2022,31436,544,0,517,1.730500063621326,0.0,1.6446112736989438
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,2.0,10,dynamic_world,2016,2022,125746,1207,156,1164,0.9598714869657882,0.12405961223418638,0.9256755682089292
ascenty-paulinia,ctrl-ascenty-paulinia-p02,controle,0.5-1km,10,dynamic_world,2016,2022,23575,130,0,122,0.5514316012725344,0.0,0.5174973488865323
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5,10,dynamic_world,2016,2022,7850,1170,881,254,14.904458598726114,11.222929936305732,3.2356687898089174
ascenty-vinhedo,ascenty-vinhedo,tratamento,1.0,10,dynamic_world,2016,2022,31424,2107,1002,1139,6.705066191446028,3.1886456211812626,3.6246181262729125
ascenty-vinhedo,ascenty-vinhedo,tratamento,2.0,10,dynamic_world,2016,2022,125687,3172,1163,2040,2.52372958221614,0.9253144716637361,1.6230795547670005
ascenty-vinhedo,ascenty-vinhedo,tratamento,0.5-1km,10,dynamic_world,2016,2022,23574,937,121,885,3.9747179095613814,0.5132773394417579,3.754135912445915
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5,10,dynamic_world,2016,2022,7855,12,0,12,0.1527689369828135,0.0,0.1527689369828135
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,1.0,10,dynamic_world,2016,2022,31426,241,0,241,0.766880926621269,0.0,0.766880926621269
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,2.0,10,dynamic_world,2016,2022,125707,1742,0,1734,1.3857621293961355,0.0,1.3793981242094713
ascenty-vinhedo,ctrl-ascenty-vinhedo-p02,controle,0.5-1km,10,dynamic_world,2016,2022,23571,229,0,229,0.9715328157481651,0.0,0.9715328157481651
clickip-manaus,clickip-manaus,tratamento,0.5,10,dynamic_world,2020,2025,8410,439,162,193,5.219976218787158,1.9262782401902496,2.294887039239001
clickip-manaus,clickip-manaus,tratamento,1.0,10,dynamic_world,2020,2025,33652,695,245,449,2.0652561511945797,0.7280399381908951,1.334244621419232
clickip-manaus,clickip-manaus,tratamento,2.0,10,dynamic_world,2020,2025,134619,2675,320,2363,1.9870894895965652,0.23770790155921526,1.7553242855763302
clickip-manaus,clickip-manaus,tratamento,0.5-1km,10,dynamic_world,2020,2025,25242,256,83,256,1.0141827113540924,0.32881705094683467,1.0141827113540924
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5,10,dynamic_world,2020,2025,8448,3,0,3,0.03551136363636364,0.0,0.03551136363636364
clickip-manaus,ctrl-clickip-manaus-p01,controle,1.0,10,dynamic_world,2020,2025,33742,240,0,240,0.711279710746251,0.0,0.711279710746251
clickip-manaus,ctrl-clickip-manaus-p01,controle,2.0,10,dynamic_world,2020,2025,134903,2269,0,2269,1.681949252425817,0.0,1.681949252425817
clickip-manaus,ctrl-clickip-manaus-p01,controle,0.5-1km,10,dynamic_world,2020,2025,25294,237,0,237,0.9369811022376848,0.0,0.9369811022376848
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,0.5,10,dynamic_world,2017,2023,7858,125,0,125,1.5907355561211505,0.0,1.5907355561211505
equinix-santana-parnaiba,equinix-santana-parnaiba,tratamento,1.0,10,dynamic_world,2017,2023,31416,576,0,571,1.8334606569900687,0.0,1.8175451998981411
