site_id,municipio,uf,eixo,rotulo,efeito_liquido,unidade,score_0_100,selo_do_eixo,tipo_sitio,qualidade_par,ano_inicio_obra,sensor
angonap-fortaleza,Fortaleza,CE,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",1.536,p.p.,61.5,forte,greenfield,aceitavel,2017,landsat
ascenty-hortolandia,Hortolândia,SP,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",-1.313,p.p.,23.1,forte,greenfield,bom,2018,landsat
ascenty-jundiai,Jundiaí,SP,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",-5.435,p.p.,7.7,forte,brownfield,bom,2019,landsat
ascenty-maracanau,Maracanaú,CE,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",6.084,p.p.,92.3,forte,,ruim,2014,landsat
ascenty-osasco,Osasco,SP,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",0.357,p.p.,38.5,forte,brownfield,ruim,2020,landsat
ascenty-paulinia,Paulínia,SP,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",6.112,p.p.,100.0,forte,brownfield,bom,2019,landsat
ascenty-sumare,Sumaré,SP,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",-3.16,p.p.,15.4,forte,brownfield,ruim,2017,landsat
ascenty-vinhedo,Vinhedo,SP,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",,p.p.,,forte,greenfield,aceitavel,2019,landsat
clickip-manaus,Manaus,AM,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",5.173,p.p.,84.6,forte,greenfield,ruim,2023,s2
equinix-santana-parnaiba,Santana de Parnaíba,SP,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",1.445,p.p.,53.8,forte,greenfield,ruim,2020,landsat
everest-goiania,Goiânia,GO,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",,p.p.,,forte,,ruim,2021,landsat
hostdime-joao-pessoa,João Pessoa,PB,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",0.789,p.p.,46.2,forte,brownfield,ruim,2017,landsat
scala-sgigsm01,São João de Meriti,RJ,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",3.655,p.p.,76.9,forte,brownfield,ruim,2022,s2
scala-spoapa01,Porto Alegre,RS,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",0.26,p.p.,30.8,forte,greenfield,ruim,2023,s2
scala-tambore,Barueri,SP,construcao_0_500m,"Conversão para construída, anel 0–500 m (SEM o prédio)",2.298,p.p.,69.2,forte,brownfield,ruim,2021,landsat
angonap-fortaleza,Fortaleza,CE,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",0.746,p.p.,46.7,forte,greenfield,aceitavel,2017,landsat
ascenty-hortolandia,Hortolândia,SP,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",-0.93,p.p.,13.3,forte,greenfield,bom,2018,landsat
ascenty-jundiai,Jundiaí,SP,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",2.646,p.p.,73.3,forte,brownfield,bom,2019,landsat
ascenty-maracanau,Maracanaú,CE,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",4.731,p.p.,93.3,forte,,ruim,2014,landsat
ascenty-osasco,Osasco,SP,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",0.39,p.p.,33.3,forte,brownfield,ruim,2020,landsat
ascenty-paulinia,Paulínia,SP,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",7.558,p.p.,100.0,forte,brownfield,bom,2019,landsat
ascenty-sumare,Sumaré,SP,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",-2.787,p.p.,6.7,forte,brownfield,ruim,2017,landsat
ascenty-vinhedo,Vinhedo,SP,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",0.056,p.p.,26.7,forte,greenfield,aceitavel,2019,landsat
clickip-manaus,Manaus,AM,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",3.431,p.p.,86.7,forte,greenfield,ruim,2023,s2
equinix-santana-parnaiba,Santana de Parnaíba,SP,construcao_500m_1km,"Conversão para construída, anel 500 m–1 km",1.613,p.p.,66.7,forte,greenfield,ruim,2020,landsat
